,reviews,scores,compound,comp_score
1563, Best for daily use ,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,pos
1564, Waste of money;non water resistant ,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",-0.4215,neg
1565, Loved it!!! ,"{'neg': 0.0, 'neu': 0.173, 'pos': 0.827, 'compound': 0.6981}",0.6981,pos
1566," At my hand, it's so classy and royal look. A good and budget product from Fasttrack. Thank you🙏 ","{'neg': 0.0, 'neu': 0.524, 'pos': 0.476, 'compound': 0.8955}",0.8955,pos
1567, Good value for money light weight water resistant is good best watch but price is higher if it was 750 so it's will be the best watch of fastrack ,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.9186}",0.9186,pos
1568, A product all must have! Just amazing!!! ,"{'neg': 0.0, 'neu': 0.502, 'pos': 0.498, 'compound': 0.7156}",0.7156,pos
1569, Very beautiful 😍❤️😍❤️😍❤️❤️😍 ,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6361}",0.6361,pos
1570, Value f or money ,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,pos
1571," Awesome watch 😍 highly recommended who r wishing to buy Fastrack watches 💯 cost worthy ,packing was also gud ,design pattern lookes pretty cute, very much comfortable to wear, thank you Amazon for fast delivery 🥰🥰 ","{'neg': 0.0, 'neu': 0.487, 'pos': 0.513, 'compound': 0.9727}",0.9727,pos
1572, The watch seems decent. Minimalist. Cool. But the packaging came bashed. I was hoping to use the box but it's totally ruined. Try to improve the packaging Amazon. ,"{'neg': 0.121, 'neu': 0.581, 'pos': 0.297, 'compound': 0.6869}",0.6869,pos
1573, Nice & good looking 👌 ,"{'neg': 0.0, 'neu': 0.149, 'pos': 0.851, 'compound': 0.6908}",0.6908,pos
1575," I like product color and working but it is easily getting white, everytime should clean with cloth. ","{'neg': 0.0, 'neu': 0.607, 'pos': 0.393, 'compound': 0.8126}",0.8126,pos
1576, Comes with big dial looks very beautiful on your hand ,"{'neg': 0.0, 'neu': 0.52, 'pos': 0.48, 'compound': 0.8122}",0.8122,pos
1577, Value for money and all ,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.34}",0.34,pos
1578, Good looking..super quality. ,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,pos
1579," office use , house wear ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1580, Best product Thank you amazon ,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.8126}",0.8126,pos
1581,                         The media could not be loaded.                    ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1582," Great looking watch with a big and elegant dial. The belt is of rubber. However, the belt fastener is of a different colour - gray. This makes it look like you have lost the original ones and are using a different pair of fastener. ","{'neg': 0.047, 'neu': 0.71, 'pos': 0.243, 'compound': 0.8658}",0.8658,pos
1583, Best watch 💯💯I like it 🤩🤩Value for money 💯💯 ,"{'neg': 0.0, 'neu': 0.511, 'pos': 0.489, 'compound': 0.7717}",0.7717,pos
1584, Value for Money Product from Fastrack. ,"{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.34}",0.34,pos
1586, First of all i like very much of this watch. Light weight and comfort. Looks are very nice. Good quality and worth it.Thank you fastrack & Amazon. ,"{'neg': 0.0, 'neu': 0.561, 'pos': 0.439, 'compound': 0.9165}",0.9165,pos
1587,                         The media could not be loaded.                      Best watch very comfortable and give stylish look... ,"{'neg': 0.178, 'neu': 0.633, 'pos': 0.189, 'compound': 0.058}",0.058,pos
1588," Nice product, formal watch but not attractive, just okay!! ","{'neg': 0.419, 'neu': 0.441, 'pos': 0.14, 'compound': -0.5848}",-0.5848,neg
1589, Good product ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
1590, good product ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
1591," Total waste of money,pls don't buy ","{'neg': 0.359, 'neu': 0.641, 'pos': 0.0, 'compound': -0.4215}",-0.4215,neg
1592, Outstanding ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6124}",0.6124,pos
1593, Simple but stylishComplete value for money. ,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.4767}",0.4767,pos
1594, It very good watch ,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4927}",0.4927,pos
1595, Awesome ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,pos
1596,                         The media could not be loaded.                    ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1597, Good one.. ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
1598, Good 👍 it's beautiful 😍 ,"{'neg': 0.0, 'neu': 0.128, 'pos': 0.872, 'compound': 0.7783}",0.7783,pos
1599, Super Watch ,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",0.5994,pos
1600, Like ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,pos
1601, Nice product 👍 ,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
1603, Nice ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,pos
1604, Value for money ⚡ ,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,pos
1605, Watch is Very LightWeight look Like 100 Rs. fiber Watch Don't Go For This Not Recommended at all ,"{'neg': 0.078, 'neu': 0.786, 'pos': 0.136, 'compound': 0.2896}",0.2896,pos
1606, Good ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
1608,"                         The media could not be loaded.                      From last siz months, I'm using this watch. Really amazing and wonderful. ","{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.8425}",0.8425,pos
1609,"                         The media could not be loaded.                      The watch looks good, points to amazon for less plastic packaging. Recommended for casual wear. ","{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.7128}",0.7128,pos
1610, I don't like disigne watch is not value for money ,"{'neg': 0.372, 'neu': 0.628, 'pos': 0.0, 'compound': -0.4847}",-0.4847,neg
1611, Nice👌 ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1612, Good ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
1613," The watch is substandard. Not something I expected from fastrack(A PRODUCT OF TITAN). The quality is so bad that when I first wore it, the hook came out of it and was lying on my clothes. Thankfully, I could ding the hook.Even after contacting fastrack, I haven’t got any assistance yet ","{'neg': 0.144, 'neu': 0.805, 'pos': 0.051, 'compound': -0.7262}",-0.7262,neg
1614, Nice we can buy it.. ,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.4215}",0.4215,pos
1616, Jandr ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1617, Size is big ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1618, Not good ,"{'neg': 0.706, 'neu': 0.294, 'pos': 0.0, 'compound': -0.3412}",-0.3412,neg
1619, Fully paisa wasool ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1620, That's great one must buy ... 800 Rs ,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.6249}",0.6249,pos
1621, Best buy ever...very affordable abd classy look...just go for it... ,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}",0.7964,pos
1622, It's good👍 ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1623, Like ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,pos
1624, Fabulous ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5267}",0.5267,pos
1625, Simple and sleek design. Good for daily use. ,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,pos
1627, Jab main order Kiya us Samy ka price tha 850 but kuchh dino kae bad 765 ho gaya so please don't buy this watch ⌚This is cheatingVery very bad ,"{'neg': 0.241, 'neu': 0.658, 'pos': 0.101, 'compound': -0.7589}",-0.7589,neg
1628, Light weight ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1629," Lightweight,easy to carry. Overall no Complaints. ","{'neg': 0.551, 'neu': 0.449, 'pos': 0.0, 'compound': -0.5994}",-0.5994,neg
1630," This watch be like-Baby I'm worth it,ha ha ha worth it😊Go for it good product ","{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.8591}",0.8591,pos
1632, Best look ,"{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,pos
1634, VERY GOOD ,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4927}",0.4927,pos
1635, It Look Very Classic 😎 We Can Erase Any Small Scrach Easily Easy To See Time ,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.6486}",0.6486,pos
1636, good ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
1637,                         The media could not be loaded.                      Really super product. Recommended for everyone. Amazon delivery always very nice. Packaging is good. ,"{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.9178}",0.9178,pos
1638, Nice Product ,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
1639, Awesome ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,pos
1640,                         The media could not be loaded.                      Almost the glass of this watch is damaged very bad condition of this glas is ,"{'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.7713}",-0.7713,neg
1641, All things are good but uppar side of dial is not glass its plastic so it havs been scratch on it. ,"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.2382}",0.2382,pos
1642, I like it ,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.3612,pos
1643, 👍 ,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1645, Of you are not buying smart watch for any reason trust me this is the best option. ,"{'neg': 0.095, 'neu': 0.589, 'pos': 0.316, 'compound': 0.7385}",0.7385,pos
1646, The front of the watch got scratched easily! ,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4003}",0.4003,pos
1647, I think that's amazing- stylish and comfortable for everyday ,"{'neg': 0.0, 'neu': 0.458, 'pos': 0.542, 'compound': 0.7964}",0.7964,pos
1648," guarantee card is not filled and stamped so if there is any defect we cannot go to service center,but watch works finebuy at your own risk ","{'neg': 0.153, 'neu': 0.78, 'pos': 0.068, 'compound': -0.3612}",-0.3612,neg
1649, It is really a cool product.while wearing it is very comfortable ,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.734}",0.734,pos
1651, It's nice ,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
1653," Good for use , good colour ,good for our daily use for a ordinary men. ","{'neg': 0.0, 'neu': 0.535, 'pos': 0.465, 'compound': 0.8271}",0.8271,pos
1654,                         The media could not be loaded.                    ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1655, It screen broke after falling while removing it out ,"{'neg': 0.386, 'neu': 0.614, 'pos': 0.0, 'compound': -0.5267}",-0.5267,neg
1656, Great Product ,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6249}",0.6249,pos
1657, Full worthy. Must buy.... ,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,pos
1658, The product is too long. Itz not suits for ladies. It said as unisex but it's not so. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1659, It is a good looking and good quality products ,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.7003}",0.7003,pos
1660, Value of product ,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,pos
1661, good ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
1663," Nice Watch, light weight and comfortable ","{'neg': 0.0, 'neu': 0.396, 'pos': 0.604, 'compound': 0.7269}",0.7269,pos
1665, Looking good & best Quality ,"{'neg': 0.0, 'neu': 0.22, 'pos': 0.78, 'compound': 0.7964}",0.7964,pos
1666, Nice look ,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
1667, Don't know about the water resistance capability but worth the price ,"{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.3291}",0.3291,pos
1668, There are a few drawbacks of this but in overall wins in looks and is totally worth the bucks! ,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.8455}",0.8455,pos
1669, Beautiful watch ,"{'neg': 0.0, 'neu': 0.204, 'pos': 0.796, 'compound': 0.5994}",0.5994,pos
1670, Very good quality ,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,pos
1671, Need replacement ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1672, 👍 ,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1673,"                         The media could not be loaded.                      It's hard to see time in low light, dark rooms and with certain angles.Not satisfied with display. ","{'neg': 0.128, 'neu': 0.693, 'pos': 0.179, 'compound': 0.34}",0.34,pos
1674, Bhot kharab hai size bhi bada hai kabhi bhi mat lena ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1675, Value for money ,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,pos
1676, Great product at this price range. ,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.6249}",0.6249,pos
1677," This is very good and smart watch, I user this ","{'neg': 0.0, 'neu': 0.532, 'pos': 0.468, 'compound': 0.7316}",0.7316,pos
1679, Nice Watch ,"{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,pos
1680, Daily use. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1681, Nice watch on low price ,"{'neg': 0.266, 'neu': 0.38, 'pos': 0.354, 'compound': 0.1779}",0.1779,pos
1682, It's worth for money value... ,"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.2263}",0.2263,pos
1683, Watch was right....... ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1684,                         The media could not be loaded.                      Best product in a low budget. I am suggesting everyone to buy this product. Value of money is high. ,"{'neg': 0.196, 'neu': 0.718, 'pos': 0.086, 'compound': -0.471}",-0.471,neg
1685, OK .happy with fast deliver but not getting warranty card ,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.5133}",0.5133,pos
1686, Good ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
1687, Very good product ,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,pos
1688, I like it ........its owesom ,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,pos
1689, Really worth money!!! Light weight and very classy watch. Happy customer 🥳😁 ,"{'neg': 0.0, 'neu': 0.468, 'pos': 0.532, 'compound': 0.8814}",0.8814,pos
1690, Product is fine better ,"{'neg': 0.0, 'neu': 0.299, 'pos': 0.701, 'compound': 0.5719}",0.5719,pos
1691, GOOD ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,pos
1692," Build is good, water splash protection.Con - can't see time if there's no light around. ","{'neg': 0.129, 'neu': 0.702, 'pos': 0.17, 'compound': 0.1779}",0.1779,pos
1693, watch is good ,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,pos
1694, It's look is so good nd also light weight ,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.5777}",0.5777,pos
1695, Good product and good price ,"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",0.7003,pos
1696, The best at this rate ! ,"{'neg': 0.0, 'neu': 0.471, 'pos': 0.529, 'compound': 0.6696}",0.6696,pos
1697, Nice ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,pos
1698, Sabkuch bekar h bahut bahut raddi qualiti 50 rs bali qulity h ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1699, Watch look is very smart ,"{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.4576}",0.4576,pos
1700, Excellent ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",0.5719,pos
1701, Worth for moneyNice product ,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.2263}",0.2263,pos
1702, Product is nice ,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.4215}",0.4215,pos
1704, Yeah I like it it’s amazing ,"{'neg': 0.0, 'neu': 0.19, 'pos': 0.81, 'compound': 0.8176}",0.8176,pos
1705, Excellent ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5719}",0.5719,pos
1706, ✌ ,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1707, Looking osm product quality aslo good👍 ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1708,                         The media could not be loaded.                      Good Average 👍🏿 ,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.3412}",-0.3412,neg
1709, Must buy this product ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1711, The product is really good within this price range it's a great catch ,"{'neg': 0.0, 'neu': 0.578, 'pos': 0.422, 'compound': 0.807}",0.807,pos
1712, Very good product ,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.4927}",0.4927,pos
1713, Value for money ,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,pos
1714,                         The media could not be loaded.                      Battery dead or not working worst experience ,"{'neg': 0.231, 'neu': 0.592, 'pos': 0.177, 'compound': -0.2514}",-0.2514,neg
1715, Also value for money ,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.34}",0.34,pos
1716, Product is Very Very Good ,"{'neg': 0.0, 'neu': 0.535, 'pos': 0.465, 'compound': 0.5379}",0.5379,pos
1720, I LIKE EVERYTHING ,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}",0.3612,pos
1721, Super watch unbelievable ,"{'neg': 0.0, 'neu': 0.149, 'pos': 0.851, 'compound': 0.6908}",0.6908,pos
1722, Value for money ,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,pos
1723, Looks classy. ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
1724, Ok ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,pos
1725, Good quality ,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,pos
1727, I like this product very nice sprb its value for buying thank u .... ,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.8588}",0.8588,pos
1730,                         The media could not be loaded.                      It is an very supreb product ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1732,                         The media could not be loaded.                      Nice ,"{'neg': 0.28, 'neu': 0.72, 'pos': 0.0, 'compound': -0.3252}",-0.3252,neg
1733,                         The media could not be loaded.                      An awesome product from fastrack ,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.6249}",0.6249,pos
1734," It was an Amazing Water Resistance,Light Weight, Comfortable Silicon Strips, ","{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}",0.7964,pos
1735,                         The media could not be loaded.                    ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1736, Value for money ,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,pos
1737,                         The media could not be loaded.                    ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1738,                         The media could not be loaded.                      Good product ,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.3412}",-0.3412,neg
1739, Value for money... ,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.34}",0.34,pos
1740, For daily use product ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1741, Product is great but glass attracts so many scratches. Even if you just lightly bump into something it leave the scratch on glass.Better go for something better with scratch resistant glass. ,"{'neg': 0.034, 'neu': 0.706, 'pos': 0.26, 'compound': 0.8641}",0.8641,pos
1742, Super quality product ,"{'neg': 0.0, 'neu': 0.339, 'pos': 0.661, 'compound': 0.5994}",0.5994,pos
1743, Waste of money ,"{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.4215}",-0.4215,neg
1744, Best ,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}",0.6369,pos
1745," Belt quality is not good, small pieces from belt are tearing and pin also week I nearly loose watch as it pin fall  small parts tears on normal rush in Mumbai ","{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.6814}",-0.6814,neg
1746,                         The media could not be loaded.                    ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1747, Not working ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1748, Stopped working and we went to Fastrack show room they said it is mechanical failure ,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.6369}",-0.6369,neg
1749, At the end of first day of wearing this watch i was able to find lots of scratches. Very much disappointed. ,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.5233}",-0.5233,neg
1750,                         The media could not be loaded.                    ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1751," The product is amazing.. Didn't expect the product to be this good. Nice colour finishing, suitable for daily use. Worth purchasing at this price... ","{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.795}",0.795,pos
1752, Worst quality. waste of money ,"{'neg': 0.697, 'neu': 0.303, 'pos': 0.0, 'compound': -0.7845}",-0.7845,neg
1753, Watch screen sctrach h ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1754,                         The media could not be loaded.                    ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1755, It's a nice product but got delivered in a non working condition. It was supposed to be for gifting purpose so returning refund reorder was not possible and I finally end up changing the battery from my wallet. Please do check the product before shipping ,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.5927}",0.5927,pos
1760, Bad colitty ,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423,neg
1761,                         The media could not be loaded.                      Beware ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1762, Damage prouduct what is this are i am a fool ,"{'neg': 0.504, 'neu': 0.496, 'pos': 0.0, 'compound': -0.7269}",-0.7269,neg
1763, Why is battery not provided?Rs 850 but no battery. ,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.4215}",-0.4215,neg
1764, Not good ,"{'neg': 0.706, 'neu': 0.294, 'pos': 0.0, 'compound': -0.3412}",-0.3412,neg
1765, Superb nice but I cancled due to some reasons but it have very nice I liked it a lot superb ,"{'neg': 0.0, 'neu': 0.401, 'pos': 0.599, 'compound': 0.9579}",0.9579,pos
1766,                         The media could not be loaded.                      All the above ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1767, This is local product ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1768, Very thick but resistant ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1769, Avoid this the dial was prone to scratch easilyNor water resistant ,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}",-0.296,neg
1770," Light weight, comfortable and perfect for daily use. ","{'neg': 0.0, 'neu': 0.462, 'pos': 0.538, 'compound': 0.7906}",0.7906,pos
1772, Dislike ,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3818}",-0.3818,neg
1774, Actually this watch looks good but when I received this watch there is a minute scratch appeared on the watch ,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.2382}",0.2382,pos
1775, This product is used for rough and tough and value for money . You must buy this when you want flexibility. ,"{'neg': 0.064, 'neu': 0.678, 'pos': 0.258, 'compound': 0.5574}",0.5574,pos
1776,                         The media could not be loaded.                    ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1777," I didn’t like the watch but i had no option now to return it, there’s no response from seller worst worst worst ","{'neg': 0.589, 'neu': 0.366, 'pos': 0.046, 'compound': -0.9744}",-0.9744,neg
1778, Value for money. Unisex. Apt for clg boys🤓 So good and cool. Matches any outfit 😁 😇. Finally goof gift ,"{'neg': 0.0, 'neu': 0.576, 'pos': 0.424, 'compound': 0.8766}",0.8766,pos
1779, It is not a good one. ,"{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.3412}",-0.3412,neg
1780, Too many scratches in single day! ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1781," Would have bought the watch but for its 57mm diameter. They should have a version of 47mm diameter, at the same price. Would be more suitable for unisex. Titan watches in general are too thick at 13mm ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1782, Its is a first copy ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,pos
1784," The watch is great, however I had added the gift option and had written a message, the box came in a big box and was hence making a lot of noise, the card where I had written the message was also missing, so I had literally paid 30 Rs for a big box, I hope something is done about this. ","{'neg': 0.037, 'neu': 0.799, 'pos': 0.165, 'compound': 0.8271}",0.8271,pos
